iteration,psrn_noisy,psrn_gt,psrn_gt_sm
0,7.077465348918793,7.287731978548097,7.287731978548097
100,16.805709966502626,19.312316043203005,13.285627563185825
200,17.571331053614955,20.725323613749044,18.159718600227183
300,18.397849664652934,22.640921413278217,21.55667997299505
400,18.688639364583686,23.442717862919284,23.586698494093582
500,18.996611733628917,24.33520304942445,24.899581570791526
600,19.194611488458452,25.0226635348697,25.832394841756873
700,19.219900454176905,24.951850329488007,26.54465369509609
800,19.414772342036898,25.51322349651594,27.21953534318343
900,19.661212742873648,26.45282393216739,27.829953716191845
1000,19.679353144098467,26.43813362280943,28.371014438543245
1100,19.833864578581125,27.070225101194644,28.792691260308203
1200,19.934341899823767,27.367334008364406,29.151266706033102
1300,19.828936513034705,26.658471881762637,29.437931648776203
1400,19.928770881058036,26.864859722811453,29.660829794999714
1500,20.058196315138762,27.24846310664035,29.8203310974899
1600,20.098224816922112,27.21652367679914,29.94358979459715
1700,20.132979289827663,27.161045311079974,30.02548543028134
1800,20.20557168893134,27.195314699796317,30.068853116019575
1900,20.135557060493042,26.725585594470328,30.089388986814782
2000,20.145802670133435,26.54199741857547,30.068756094697235
2100,20.367708435568602,27.119927897661825,30.03003878640216
2200,20.400206057631163,26.946683760708616,29.98061936276587
2300,20.51309798330192,27.119805414457044,29.91100576390807
2400,20.543625760214447,26.973256919128545,29.82972657963815
2500,20.614164112495338,26.97473695348132,29.716473168305516
2600,20.63805542948833,26.71632167186275,29.593543226442137
2700,20.700352916679627,26.543910951796864,29.46305316384955
2800,20.724136190908258,26.57195745206442,29.343068859394165
2900,20.878751298015107,26.65037882686768,29.187921606166324
3000,20.928415037618716,26.39480312483069,29.01613096468649
3100,20.910366080427202,26.149870014607075,28.89102134758552
3200,20.999087355966527,26.07918721803339,28.703189859079114
3300,20.957216406990486,25.69818024639624,28.533084814237057
3400,21.18337394271339,25.871739061228634,28.364511427080746
3500,21.20829374728884,25.61813735065325,28.173711632970342
3600,21.318710109197237,25.474930045526335,28.00489139058264
3700,21.41713927563945,25.57977770055601,27.804067202394435
3800,21.38485992800293,25.190174026832924,27.624591473296682
3900,21.50493393742373,25.077336814730906,27.450308957054574
4000,21.618867970821725,25.023709904958032,27.246025311500617
4100,21.553485428572433,24.577006002101474,27.054455118584656
4200,21.741947162609577,24.603163593273297,26.870499984264654
4300,21.75937734926135,24.612956048178127,26.71038486329225
4400,21.837506962533265,24.304623118766848,26.50956271713853
4500,22.109729585072863,24.443923525028044,26.333284638126973
4600,22.166692927636902,24.22054269305598,26.141202724961797
4700,22.285912399663246,24.01403560827426,25.956123819190164
4800,22.313638671749025,23.882207244213213,25.793710948610034
4900,22.442543177039312,23.949352769613167,25.61014349073671
5000,22.647851964059903,23.7421130183522,25.43131192776596
5100,22.7261301177682,23.49843769857268,25.236736827841575
5200,22.72996410961078,23.227851537641726,25.076776481141017
5300,22.937421058702384,23.17298473546947,24.90656711951018
5400,22.81304224843955,22.990890054559152,24.73887096669641
5500,23.1665339712473,23.1175150422059,24.58051046909324
5600,23.559489512880063,22.846011291795914,24.406349676977523
5700,23.30456990098174,22.614774427923226,24.2354424122802
5800,23.690003225830015,22.57980097955217,24.102620882403922
5900,24.010500593023075,22.583034939157294,23.923669986133838
