iteration,psrn_noisy,psrn_gt,psrn_gt_sm
0,8.951446325019681,9.264518341123898,9.264518341123898
100,17.55928735539647,20.82732072060373,14.999858117421825
200,18.54342095286731,23.076156128779136,20.009863127429583
300,18.953983101509706,24.217424134074808,23.4839238728617
400,19.319740653115872,25.243888671936517,25.527235392039035
500,19.495746834314623,25.879160962819455,26.906558741640833
600,19.69786964989305,26.502251988168354,27.89040308450337
700,19.817276926500785,26.58016691818814,28.66181546248758
800,19.898587842489366,26.72206788644131,29.204908236185542
900,20.14500585676999,27.616768592218687,29.56051229182708
1000,19.8832368458705,26.017947518066098,29.804579766726565
1100,20.205308715184795,26.909396957285225,29.899004524280524
1200,20.319847361975974,27.111271947947596,29.916714860248604
1300,20.442723399636982,27.237672505733606,29.86607155824979
1400,20.49336328761427,27.148410940920577,29.800898833024434
1500,20.608708458103237,26.99230383326068,29.63513873586699
1600,20.618170176868418,26.6217336357655,29.501120995835308
1700,20.604032604886516,26.17031261810942,29.26696402043251
1800,20.813030599658138,26.18506992943366,29.046495040585064
1900,20.933264902891622,26.23968821752966,28.81956527781177
2000,20.990679893100484,26.078775890660232,28.596247959451148
2100,21.054470603208802,25.76862159867218,28.380052155167913
2200,21.06416389644218,25.3320798892093,28.112973243587227
2300,21.224827552832956,25.386097525225473,27.886500860358083
2400,21.33607566178855,25.213220831761515,27.66880145949201
2500,21.47765603313589,24.976739020806725,27.42304083917443
2600,21.50130785273703,24.594034470286495,27.177441645313817
2700,21.64656235091352,24.73097339938515,26.97599620587843
2800,21.768096366130017,24.49674792932784,26.732807826602148
2900,21.940959998560864,24.365025223813973,26.518443102311334
3000,21.94840777719728,24.20588465872422,26.305766968413774
3100,21.962458433247352,23.682096677964193,26.07645592886593
3200,22.246534392228497,23.946850080857406,25.90465684346107
3300,22.250805793949652,23.542637280434846,25.668634539539056
3400,22.466371804155855,23.496860373190053,25.456825726005555
3500,22.547956162615503,23.263393743378934,25.259570601690108
3600,22.785206816159167,23.213812764670973,25.079707803092642
3700,22.935108547371538,23.244563542441938,24.876733606511255
3800,23.004351146254635,22.91919738198379,24.697837305926875
3900,22.933306683724823,22.68396104076858,24.529109504223857
4000,23.27315320234248,22.768495424553755,24.34742646728692
4100,23.319892058543417,22.45650274462524,24.172937952052926
4200,23.787674527386685,22.51315780643401,23.993827232745897
4300,24.017443722474063,22.40006408067942,23.8497330445293
4400,24.060951639691673,22.340009296610134,23.680798733938012
4500,24.288685985280566,22.176514085654144,23.53664390277833
4600,24.73674535798322,22.076286541866065,23.366279627583694
4700,24.63706174348587,21.967853830590887,23.208694865443388
4800,24.684387032287415,21.75315367049379,23.08187286340641
4900,25.155412425596452,21.711027083250627,22.935792348780723
5000,24.708829553509393,21.502777941929008,22.801113654168358
5100,25.785375575554728,21.66140592551998,22.66984903360374
5200,25.27638026475163,21.334116887747363,22.522255459213675
5300,26.38038404031183,21.47717797515353,22.41323411543317
5400,26.207715677410583,21.42586110835062,22.299095033568737
5500,26.682306392517276,21.341473145825375,22.182317062589544
5600,26.222428974994635,21.01721091299904,22.07253855327696
5700,27.029453192199572,21.17969392916629,21.978699413516267
5800,27.43854231798108,21.143630434537183,21.89431416754539
5900,26.736068461556215,20.87668460733476,21.794538654119535
