iteration,psnr_noisy,psnr_gt,psnr_gt_sm
0,11.122188989423362,11.655566897851736,11.655566897851736
1,9.72466550912959,10.107343115832819,11.710410367642679
2,11.147748114312805,11.683444965113928,11.781338994623134
3,11.452763534756956,12.02867336568951,11.852317217745496
4,13.159850703240286,14.046330673113605,11.941436308067528
5,13.76196290369789,14.796009501141912,12.050616811442483
6,14.444866695791895,15.688277241609965,12.172051804144893
7,14.54239277666527,15.81931963865552,12.30302349418803
8,15.013346790707596,16.467439096047706,12.447229071917674
9,15.018824734165525,16.474184170945048,12.595614875268366
10,15.148055731104257,16.659626677986,12.75546955065513
11,15.2307536529611,16.77540581776321,12.91773913467513
12,15.384212321035582,17.000038288018168,13.094892083378706
13,15.282124601414422,16.857249752728013,13.28283255317768
14,15.530595184835875,17.215960098178996,13.466384880005062
15,15.534255657062037,17.219027645558324,13.645915119349306
16,15.500346639046969,17.16840475436869,13.823031572938788
17,15.431302604008948,17.070913446950854,13.996814329365055
18,15.454344447888728,17.101146522430255,14.162936887306095
19,15.573138556065093,17.2799796590044,14.332054022026963
20,15.596124487743854,17.312064974656607,14.492883870556224
21,15.698428728903696,17.465781210743067,14.656644803262955
22,15.654760714137709,17.402004145984066,14.822718441038663
23,15.718848565948974,17.49710497296618,14.979540088662773
24,15.717063710265986,17.49376156418492,15.129535885418575
25,15.66276732979272,17.411322695399484,15.266634557677488
26,15.791211223074109,17.60229908803051,15.400536054247684
27,15.765578908682137,17.566300445711956,15.530363830577546
28,15.782145731552603,17.593772993018977,15.655212753793815
29,15.841223695808871,17.685241896932443,15.778178650220147
30,15.947517632149316,17.84431522432033,15.895506089451661
31,15.935796628224173,17.82787245180083,16.00871124739674
32,15.971536081405613,17.88627099773532,16.11884868984924
33,15.997878173657076,17.926203712647972,16.225189867929835
34,15.969941086123889,17.882097024402704,16.32655122930161
35,15.933246851990276,17.82522059378799,16.417205487356096
36,15.975808053093958,17.894090729373932,16.50398332670494
37,16.02641111499971,17.97249624623226,16.585589817078155
38,16.030848088672293,17.979824720896225,16.664703251636276
39,16.05211543398967,18.01458063721438,16.741783737604454
40,16.05265858667022,18.013579596423988,16.81276877639618
41,16.09036011192954,18.07235234803114,16.884874060304256
42,16.102031633187085,18.094771378737583,16.9551799131517
43,16.069831708838926,18.044196721835576,17.0247307851747
44,16.08678146733007,18.071863628778715,17.087874184002793
45,16.111504577388015,18.106355074773855,17.145637606025602
46,16.114499877637527,18.113746596657414,17.200920369097595
47,16.113207594524425,18.11013853879209,17.251749902735874
48,16.10137910354532,18.088415401604813,17.297916095478037
49,16.164416376983326,18.192116270568025,17.345834840292795
50,16.229641276046657,18.29382096527758,17.39314925743469
51,16.235151422757575,18.306220105171207,17.442030820967062
52,16.204367113785487,18.255921547474173,17.48758603162871
53,16.22047050894603,18.286170790116827,17.53213371014241
54,16.276655016710258,18.37252122775839,17.57172274164011
55,16.288265029771487,18.391198571644214,17.609537678366564
56,16.225766400440566,18.288919730975927,17.645324397780527
57,16.23948593286269,18.31023580172189,17.678430182431597
58,16.323003391477986,18.44967230135285,17.714432963268305
59,16.356049903844063,18.502048486503064,17.749053577313976
60,16.34858460827081,18.491126939159845,17.78314834826535
61,16.35057019881758,18.493976887814956,17.8162737156738
62,16.349151031580792,18.494993661142054,17.850234994888837
63,16.384211923751657,18.55406702058071,17.884370922599146
64,16.356466099759317,18.502788614577486,17.914757109094396
65,16.319944882624625,18.440946562263452,17.942577436595133
66,16.433531241812492,18.63178465162151,17.969911735261636
67,16.38183369227717,18.54707447490933,17.99626914686734
68,16.43584349320464,18.63458295470298,18.023704354898676
69,16.38735758312705,18.556958464872427,18.050247906611318
70,16.461070757731584,18.67958528712518,18.079279469496157
71,16.357610742293293,18.502178850856758,18.103395362919127
72,16.415456509589244,18.59840487285639,18.12521628722279
73,16.462533022984562,18.67824578460955,18.147937064235915
74,16.486853866705605,18.720369063204178,18.171151416455476
75,16.528683690708746,18.790798394545863,18.195557923950464
76,16.451417244506622,18.664506839731988,18.22002191399031
77,16.553510936353227,18.830821001289323,18.244021799323036
78,16.510824733700503,18.758927744719074,18.26725773871625
79,16.563659925291574,18.848730658780433,18.292858564086306
80,16.44609274801436,18.649481569998677,18.313928563684804
81,16.517412940320682,18.77358220500492,18.335682865632055
82,16.438037847216002,18.642944995903914,18.35605229685763
83,16.562246592017665,18.847217090287216,18.37661963384466
84,16.58615600155874,18.88516613197204,18.395486316993264
85,16.564604885424846,18.85068813640674,18.41328570195312
86,16.624119332093038,18.95487660275632,18.433586040251825
87,16.633078196550972,18.971743429582936,18.456691717279007
88,16.713805251316213,19.110174370507995,18.481072922652604
89,16.688843694447407,19.06855611997443,18.50245066931948
90,16.75309459680967,19.177244156196796,18.524591575265728
91,16.634119360889457,18.965760430623625,18.54475924512681
92,16.744527181537634,19.16157781664755,18.56703289487097
93,16.738296298883203,19.148716710763,18.58808046230953
94,16.78057216760481,19.226744557882583,18.610185580747682
95,16.751707842479735,19.178599458585882,18.633356655975
96,16.69438928379908,19.076775521972454,18.653901966174956
97,16.687743328440206,19.058786135845686,18.673318317481588
98,16.82318085277946,19.304838097058905,18.69462471484423
99,16.81296996526862,19.283328795244458,18.717551812228
100,16.758680715553794,19.190558948403805,18.739437579816244
101,16.890258495127874,19.423493875740178,18.762197145476325
102,16.871745260764726,19.387360924587774,18.78282444498725
103,16.85548377783362,19.356723270323272,18.803469323649843
104,16.874300159253494,19.389843605607368,18.824821724836017
105,16.860696095797564,19.371345115597844,18.8471409196151
106,16.993277895668296,19.61039606000387,18.87165435099223
107,16.906482335112962,19.457849514496495,18.898337470839216
108,16.956818659196358,19.54501709712489,18.92137790487846
109,16.92170067998399,19.472422707683958,18.942231452016543
110,16.922797537147677,19.472942291709227,18.96215878377752
